COR,Assigned
Saint Pierre and Miquelon,"Americas, Oceania"
Saint Vincent and the Grenadines,"Americas, Oceania"
Samoa,"Americas, Oceania"
San Marino,"Africa, Europe"
Sao Tome and Principe,"Africa, Europe"
Saudi Arabia,South Asia and Middle East
Senegal,"Africa, Europe"
Serbia,"Africa, Europe"
Seychelles,"Africa, Europe"
Sierra Leone,"Africa, Europe"
Singapore,South East Asia 
Sint Maarten (Dutch part),"Americas, Oceania"
Slovakia,"Africa, Europe"
Slovenia,"Africa, Europe"
Solomon Islands,"Americas, Oceania"
Somalia,"Africa, Europe"
South Africa,"Africa, Europe"
South Georgia and the South Sandwich Islands,"Americas, Oceania"
South Sudan,"Africa, Europe"
Spain,"Africa, Europe"
Sri Lanka,South Asia and Middle East
Sudan,"Africa, Europe"
Suriname,"Americas, Oceania"
Svalbard and Jan Mayen,"Africa, Europe"
Swaziland,"Africa, Europe"
Sweden,"Africa, Europe"
Switzerland,"Africa, Europe"
Syrian Arab Republic,South Asia and Middle East
"Taiwan, Province of China",South East Asia 
Tajikistan,"Africa, Europe"
"Tanzania, United Republic of","Africa, Europe"
Thailand,South East Asia 
Timor-Leste,South East Asia 
Togo,"Africa, Europe"
Tokelau,"Americas, Oceania"
Tonga,"Americas, Oceania"
Trinidad and Tobago,"Americas, Oceania"
Tunisia,"Africa, Europe"
Turkey,"Africa, Europe"
Turkmenistan,"Africa, Europe"
Turks and Caicos Islands,"Africa, Europe"
Tuvalu,"Americas, Oceania"
Uganda,"Africa, Europe"
Ukraine,"Africa, Europe"
United Arab Emirates,South Asia and Middle East
United Kingdom,"Africa, Europe"
United States,"Americas, Oceania"
United States Minor Outlying Islands,"Americas, Oceania"
Uruguay,"Americas, Oceania"
Uzbekistan,"Africa, Europe"
Vanuatu,"Americas, Oceania"
"Venezuela, Bolivarian Republic of","Americas, Oceania"
Viet Nam,South East Asia 
"Virgin Islands, British","Americas, Oceania"
"Virgin Islands, U.S.","Americas, Oceania"
Wallis and Futuna,"Americas, Oceania"
Western Sahara,"Africa, Europe"
Yemen,South Asia and Middle East
Zambia,"Africa, Europe"
Zimbabwe,"Africa, Europe"
Åland Islands,"Africa, Europe"
Åland Islands,"Africa, Europe"
"China, Hong Kong Special Administrative Region",South East Asia 
Iran (Islamic Republic of),South Asia and Middle East
United States of America,South Asia and Middle East
Occupied Palestinian Territory,"Americas, Oceania"
